Unofficial Election Results
SanDiego
Contest Name,Candidate Name,Party,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","0"
"Shall GAVIN NEWSOM be recalled (removed) from the office of Governor?","NO","","485281","6066","0","491347","1825","0","812530"
"Shall GAVIN NEWSOM be recalled (removed) from the office of Governor?","YES","","302471","16562","0","319033","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","LARRY A. ELDER","REP","200534","13981","0","214515","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN L. FAULCONER","REP","83209","1013","0","84222","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN PAFFRATH","DEM","54975","1153","0","56128","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOHN COX","REP","22748","570","0","23318","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","BRANDON M. ROSS","DEM","22956","210","0","23166","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOEL VENTRESCA","DEM","11530","87","0","11617","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JACQUELINE MCGOWAN","DEM","10771","204","0","10975","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN KILEY","REP","9802","594","0","10396","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DANIEL WATTS","DEM","9966","242","0","10208","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOHN R. DRAKE","DEM","5954","292","0","6246","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","CAITLYN JENNER","REP","6011","94","0","6105","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ARMANDO ""MANDO"" PEREZ-SERRATO","DEM","4931","331","0","5262","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","HOLLY L. BAADE","DEM","4321","115","0","4436","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","PATRICK KILPATRICK","DEM","4043","41","0","4084","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JEFF HEWITT","LIB","3755","104","0","3859","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAN KAPELOVITZ","GRN","3100","43","0","3143","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ANGELYNE","NPP","1915","34","0","1949","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID MOORE","NPP","1478","37","0","1515","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ANTHONY TRIMINO","REP","1046","288","0","1334","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","TED GAINES","REP","1299","14","0","1313","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","MICHAEL LOEBS","NPP","1290","15","0","1305","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DENVER STONER","REP","1168","33","0","1201","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","HEATHER COLLINS","GRN","995","50","0","1045","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DOUG OSE","REP","1021","8","0","1029","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","MAJOR SINGH","NPP","928","15","0","943","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","SAM L. GALLUCCI","REP","843","20","0","863","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID LOZANO","REP","828","7","0","835","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","STEVE CHAVEZ LODGE","REP","798","12","0","810","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","SARAH STEPHENS","REP","733","20","0","753","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JENNY RAE LE ROUX","REP","682","12","0","694","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JAMES G. HANINK","NPP","564","42","0","606","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DENNIS RICHTER","NPP","550","12","0","562","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID ALEXANDER BRAMANTE","REP","504","22","0","526","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID HILLBERG","REP","413","40","0","453","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ROBERT C. NEWMAN II","REP","432","12","0","444","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DIEGO MARTINEZ","REP","340","10","0","350","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DENIS LUCEY","NPP","336","3","0","339","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","CHAUNCEY ""SLIM"" KILLENS","REP","323","4","0","327","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ADAM PAPAGAN","NPP","286","12","0","298","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN K. KAUL","NPP","243","9","0","252","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","NICKOLAS WILDSTAR","REP","211","8","0","219","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DANIEL MERCURI","REP","207","3","0","210","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","LEO S. ZACKY","REP","204","5","0","209","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","RHONDA FURIN","REP","200","4","0","204","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JEREMIAH ""JEREMY"" MARCINIAK","NPP","135","4","0","139","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOE M. SYMMON","REP","111","4","0","115","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Major Williams","","70","13","0","83","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Stacy Smith","","1","0","0","1","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Roxanne","","0","0","0","0","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Thuy E. Hugens","","0","0","0","0","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Miki Habryn","","0","0","0","0","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Vince Lundgren","","0","0","0","0","1825","0","812530"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Vivek B. Mohan","","0","0","0","0","1825","0","812530"
