Final Unofficial Election Night Results <br /> Projected Outstanding Ballots: 185,000 <br /> Next Post 9/20/21 After 5PM
SanDiego
Contest Name,Candidate Name,Party,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","0"
"Shall GAVIN NEWSOM be recalled (removed) from the office of Governor?","NO","","553873","27694","0","581567","1825","0","1002412"
"Shall GAVIN NEWSOM be recalled (removed) from the office of Governor?","YES","","358655","59978","0","418633","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","LARRY A. ELDER","REP","241690","49841","0","291531","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN L. FAULCONER","REP","94687","4393","0","99080","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN PAFFRATH","DEM","63911","5495","0","69406","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOHN COX","REP","25649","2117","0","27766","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","BRANDON M. ROSS","DEM","26270","828","0","27098","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN KILEY","REP","12081","1834","0","13915","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JACQUELINE MCGOWAN","DEM","12689","1054","0","13743","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOEL VENTRESCA","DEM","13099","292","0","13391","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DANIEL WATTS","DEM","11610","1472","0","13082","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOHN R. DRAKE","DEM","7023","1610","0","8633","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ARMANDO ""MANDO"" PEREZ-SERRATO","DEM","5723","1997","0","7720","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","CAITLYN JENNER","REP","6677","391","0","7068","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","HOLLY L. BAADE","DEM","4956","606","0","5562","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JEFF HEWITT","LIB","4306","617","0","4923","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","PATRICK KILPATRICK","DEM","4543","191","0","4734","1825","0","1002412"
