Final Unofficial Election Night Results <br /> Projected Outstanding Ballots: 185,000 <br /> Next Post 9/20/21 After 5PM
SanDiego
Contest Name,Candidate Name,Party,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAN KAPELOVITZ","GRN","3600","200","0","3800","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ANTHONY TRIMINO","REP","1533","989","0","2522","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ANGELYNE","NPP","2150","163","0","2313","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID MOORE","NPP","1750","211","0","1961","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","MICHAEL LOEBS","NPP","1547","48","0","1595","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","TED GAINES","REP","1480","85","0","1565","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DENVER STONER","REP","1334","131","0","1465","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","HEATHER COLLINS","GRN","1152","275","0","1427","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DOUG OSE","REP","1145","65","0","1210","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","MAJOR SINGH","NPP","1086","77","0","1163","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","SAM L. GALLUCCI","REP","988","94","0","1082","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID LOZANO","REP","941","40","0","981","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","STEVE CHAVEZ LODGE","REP","910","64","0","974","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","SARAH STEPHENS","REP","837","102","0","939","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JENNY RAE LE ROUX","REP","790","53","0","843","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JAMES G. HANINK","NPP","644","194","0","838","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID ALEXANDER BRAMANTE","REP","588","166","0","754","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DENNIS RICHTER","NPP","637","26","0","663","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID HILLBERG","REP","462","201","0","663","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ROBERT C. NEWMAN II","REP","487","56","0","543","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ADAM PAPAGAN","NPP","337","98","0","435","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DIEGO MARTINEZ","REP","389","42","0","431","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DENIS LUCEY","NPP","378","32","0","410","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","CHAUNCEY ""SLIM"" KILLENS","REP","372","31","0","403","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN K. KAUL","NPP","289","40","0","329","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","NICKOLAS WILDSTAR","REP","257","37","0","294","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Major Williams","","197","97","0","294","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DANIEL MERCURI","REP","244","25","0","269","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","LEO S. ZACKY","REP","242","11","0","253","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","RHONDA FURIN","REP","214","18","0","232","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JEREMIAH ""JEREMY"" MARCINIAK","NPP","147","13","0","160","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOE M. SYMMON","REP","128","26","0","154","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Roxanne","","1","0","0","1","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Stacy Smith","","1","0","0","1","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Miki Habryn","","1","0","0","1","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Thuy E. Hugens","","0","0","0","0","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Vince Lundgren","","0","0","0","0","1825","0","1002412"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Vivek B. Mohan","","0","0","0","0","1825","0","1002412"
