Final Unofficial Election Night Results <br /> Projected Outstanding Ballots: 13,000 <br /> Next Post 10/1/21 After 5PM
SanDiego
Contest Name,Candidate Name,Party,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","1825"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","LEO S. ZACKY","REP","299","11","0","310","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","RHONDA FURIN","REP","250","18","0","268","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JEREMIAH ""JEREMY"" MARCINIAK","NPP","166","14","0","180","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOE M. SYMMON","REP","146","26","0","172","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Stacy Smith","","5","0","0","5","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Miki Habryn","","3","0","0","3","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Roxanne","","1","0","0","1","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Thuy E. Hugens","","1","0","0","1","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Vivek B. Mohan","","1","0","0","1","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Vince Lundgren","","0","0","0","0","1825","0","1175287"
