Final Unofficial Election Night Results <br /> Projected Outstanding Ballots: 255,000 <br /> Next Post 9/17/21 After 5PM
SanDiego
Contest Name,Candidate Name,Party,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","0"
"Shall GAVIN NEWSOM be recalled (removed) from the office of Governor?","NO","","516281","27694","0","543975","1825","0","935863"
"Shall GAVIN NEWSOM be recalled (removed) from the office of Governor?","YES","","329778","59978","0","389756","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","LARRY A. ELDER","REP","220948","49841","0","270789","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN L. FAULCONER","REP","88318","4393","0","92711","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN PAFFRATH","DEM","59171","5495","0","64666","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOHN COX","REP","24111","2117","0","26228","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","BRANDON M. ROSS","DEM","24473","828","0","25301","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN KILEY","REP","10929","1834","0","12763","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JACQUELINE MCGOWAN","DEM","11598","1054","0","12652","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOEL VENTRESCA","DEM","12297","292","0","12589","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DANIEL WATTS","DEM","10764","1472","0","12236","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOHN R. DRAKE","DEM","6425","1610","0","8035","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ARMANDO ""MANDO"" PEREZ-SERRATO","DEM","5289","1997","0","7286","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","CAITLYN JENNER","REP","6301","391","0","6692","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","HOLLY L. BAADE","DEM","4589","606","0","5195","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JEFF HEWITT","LIB","3996","617","0","4613","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","PATRICK KILPATRICK","DEM","4274","191","0","4465","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAN KAPELOVITZ","GRN","3331","200","0","3531","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ANTHONY TRIMINO","REP","1327","989","0","2316","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ANGELYNE","NPP","2006","163","0","2169","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID MOORE","NPP","1591","211","0","1802","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","TED GAINES","REP","1375","85","0","1460","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","MICHAEL LOEBS","NPP","1394","48","0","1442","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DENVER STONER","REP","1248","131","0","1379","1825","0","935863"
