Final Unofficial Election Night Results <br /> Projected Outstanding Ballots: 255,000 <br /> Next Post 9/17/21 After 5PM
SanDiego
Contest Name,Candidate Name,Party,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","HEATHER COLLINS","GRN","1074","275","0","1349","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DOUG OSE","REP","1071","65","0","1136","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","MAJOR SINGH","NPP","996","77","0","1073","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","SAM L. GALLUCCI","REP","906","94","0","1000","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID LOZANO","REP","887","40","0","927","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","STEVE CHAVEZ LODGE","REP","851","64","0","915","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","SARAH STEPHENS","REP","772","102","0","874","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JENNY RAE LE ROUX","REP","738","53","0","791","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JAMES G. HANINK","NPP","592","194","0","786","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID ALEXANDER BRAMANTE","REP","536","166","0","702","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DENNIS RICHTER","NPP","602","26","0","628","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID HILLBERG","REP","424","201","0","625","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ROBERT C. NEWMAN II","REP","456","56","0","512","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DIEGO MARTINEZ","REP","361","42","0","403","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ADAM PAPAGAN","NPP","303","98","0","401","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DENIS LUCEY","NPP","353","32","0","385","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","CHAUNCEY ""SLIM"" KILLENS","REP","350","31","0","381","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN K. KAUL","NPP","271","40","0","311","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","NICKOLAS WILDSTAR","REP","232","37","0","269","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Major Williams","","159","97","0","256","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DANIEL MERCURI","REP","226","25","0","251","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","LEO S. ZACKY","REP","220","11","0","231","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","RHONDA FURIN","REP","209","18","0","227","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JEREMIAH ""JEREMY"" MARCINIAK","NPP","140","13","0","153","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOE M. SYMMON","REP","116","26","0","142","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Roxanne","","1","0","0","1","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Stacy Smith","","1","0","0","1","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Miki Habryn","","1","0","0","1","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Thuy E. Hugens","","0","0","0","0","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Vince Lundgren","","0","0","0","0","1825","0","935863"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Vivek B. Mohan","","0","0","0","0","1825","0","935863"
