Unofficial Election Results
SanDiego
Contest Name,Candidate Name,Party,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","SAM L. GALLUCCI","REP","843","53","0","896","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID LOZANO","REP","828","19","0","847","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","STEVE CHAVEZ LODGE","REP","798","31","0","829","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","SARAH STEPHENS","REP","733","60","0","793","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JENNY RAE LE ROUX","REP","682","30","0","712","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JAMES G. HANINK","NPP","564","110","0","674","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID ALEXANDER BRAMANTE","REP","504","69","0","573","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DENNIS RICHTER","NPP","550","19","0","569","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID HILLBERG","REP","413","104","0","517","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ROBERT C. NEWMAN II","REP","432","36","0","468","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DIEGO MARTINEZ","REP","340","25","0","365","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DENIS LUCEY","NPP","336","16","0","352","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","CHAUNCEY ""SLIM"" KILLENS","REP","323","16","0","339","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ADAM PAPAGAN","NPP","286","50","0","336","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN K. KAUL","NPP","243","30","0","273","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","NICKOLAS WILDSTAR","REP","211","22","0","233","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DANIEL MERCURI","REP","207","12","0","219","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","LEO S. ZACKY","REP","204","7","0","211","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","RHONDA FURIN","REP","200","9","0","209","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JEREMIAH ""JEREMY"" MARCINIAK","NPP","135","10","0","145","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOE M. SYMMON","REP","111","16","0","127","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Major Williams","","70","13","0","83","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Stacy Smith","","1","0","0","1","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Roxanne","","0","0","0","0","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Thuy E. Hugens","","0","0","0","0","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Miki Habryn","","0","0","0","0","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Vince Lundgren","","0","0","0","0","1825","0","841135"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","Vivek B. Mohan","","0","0","0","0","1825","0","841135"
